"TOA5","73644","CR1000","73644","CR1000.Std.28","CRD:CR-1000_TC16SE_CARD_30ms.CR1","40154","tc_data"
"TIMESTAMP","RECORD","tc(1)","tc(2)","tc(3)","tc(4)","tc(5)","tc(6)","tc(7)","tc(8)","tc(9)","tc(10)","tc(11)","tc(12)","tc(13)","tc(14)","tc(15)","tc(16)"
"TS","RN","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-06-06 14:31:09.48",17275,24.30493,24.30493,-5842389,24.30493,24.30493,-5590061,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.51",17276,24.30493,24.30493,-6180089,24.30493,24.30493,-5860754,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.54",17277,24.30493,24.30493,-6354684,24.30493,24.30493,-5971919,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.57",17278,24.30493,24.30493,-6483214,24.30493,24.30493,-6046957,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.66",17279,24.30493,24.30493,-6433534,24.30493,24.30493,-6257207,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.69",17280,24.30493,24.30493,-6623940,24.30493,24.30493,-6170502,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.72",17281,24.30493,24.30493,-6746498,24.30493,24.30493,-6247524,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.75",17282,24.30493,24.30493,-6808453,24.30493,24.30493,-6296055,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.78",17283,24.30493,24.30493,-6881305,24.30493,24.30493,-6344881,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.81",17284,24.30493,24.30493,-6933725,24.30493,24.30493,-6374324,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.84",17285,24.30493,24.30493,-6986458,24.30493,24.30493,-6394014,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.87",17286,24.30493,24.30493,-7007643,24.30493,24.30493,-6453370,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.9",17287,24.30493,24.30493,-7050167,24.30493,24.30493,-6473253,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.93",17288,24.30493,24.30493,-7103608,24.30493,24.30493,-6493187,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.96",17289,24.30493,24.30493,-7146594,24.30493,24.30493,-6523173,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:09.99",17290,24.30493,24.30493,-7157375,24.30493,24.30493,-6563333,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.02",17291,24.30493,24.30493,-7200617,24.30493,24.30493,-6573404,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.05",17292,24.30493,24.30493,-7222318,24.30493,24.30493,-6613811,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.08",17293,24.30493,24.30493,-7244073,24.30493,24.30493,-6634085,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.11",17294,24.30493,24.30493,-7276800,24.30493,24.30493,-6664594,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.14",17295,24.30493,24.30493,-7309643,24.30493,24.30493,-6695216,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.17",17296,24.30493,24.30493,-7509211,24.30493,24.30493,-6695216,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.2",17297,24.30493,24.30493,-7386746,24.30493,24.30493,-6725951,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.23",17298,24.30493,24.30493,-7386746,24.30493,24.30493,-6736214,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.26",17299,24.30493,24.30493,-7419986,24.30493,24.30493,-6777418,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.29",17300,24.30493,24.30493,-7442213,24.30493,24.30493,-6787751,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.32",17301,24.30493,24.30493,-7464494,24.30493,24.30493,-6798096,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.35",17302,24.30493,24.30493,-7464494,24.30493,24.30493,-6818823,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.38",17303,24.30493,24.30493,-7509211,24.30493,24.30493,-6839597,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.41",17304,24.30493,24.30493,-7531653,24.30493,24.30493,-6850006,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.44",17305,24.30493,24.30493,-7531653,24.30493,24.30493,-6881305,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.47",17306,24.30493,24.30493,-7587990,24.30493,24.30493,-6902235,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.5",17307,24.30493,24.30493,-7576696,24.30493,24.30493,-6912719,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.53",17308,24.30493,24.30493,-7621954,24.30493,24.30493,-6923215,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.56",17309,24.30493,24.30493,-7644659,24.30493,24.30493,-6965325,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.59",17310,24.30493,24.30493,-7644659,24.30493,24.30493,-6965325,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.62",17311,24.30493,24.30493,-7667423,24.30493,24.30493,-7007643,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.65",17312,24.30493,24.30493,-7667423,24.30493,24.30493,-7007643,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.68",17313,24.30493,24.30493,-7724569,24.30493,24.30493,-7007643,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.71",17314,24.30493,24.30493,-7713112,24.30493,24.30493,-7028879,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.74",17315,24.30493,24.30493,-7736039,24.30493,24.30493,-7050167,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.77",17316,24.30493,24.30493,-7770526,24.30493,24.30493,-7060826,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.8",17317,24.30493,24.30493,-7770526,24.30493,24.30493,-7092892,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.83",17318,24.30493,24.30493,-7782050,24.30493,24.30493,-7114335,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.86",17319,24.30493,24.30493,-7805140,24.30493,24.30493,-7114335,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.89",17320,24.30493,24.30493,-7828284,24.30493,24.30493,-7146594,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.92",17321,24.30493,24.30493,-7828284,24.30493,24.30493,-7157375,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.95",17322,24.30493,24.30493,-7839877,24.30493,24.30493,-7157375,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:10.98",17323,24.30493,24.30493,-7863105,24.30493,24.30493,-7178967,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.01",17324,24.3343,24.3343,-7886584,24.3343,24.3343,-7179154,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.04",17325,24.30493,24.30493,-7898042,24.30493,24.30493,-7200617,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.07",17326,24.30493,24.30493,-7909717,24.30493,24.30493,-7222318,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.1",17327,24.30493,24.30493,-7921408,24.30493,24.30493,-7244073,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.13",17328,24.30493,24.30493,-7956556,24.30493,24.30493,-7265878,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.16",17329,24.30493,24.30493,-7956556,24.30493,24.30493,-7254968,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.19",17330,24.30493,24.30493,-7980059,24.30493,24.30493,-7287732,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.22",17331,24.30493,24.30493,-7991826,24.30493,24.30493,-7309643,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.25",17332,24.30493,24.30493,-7991826,24.30493,24.30493,-7309643,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.28",17333,24.30493,24.30493,-7991826,24.30493,24.30493,-7320618,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.31",17334,24.30493,24.30493,-8015411,24.30493,24.30493,-7320618,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.34",17335,24.30493,24.30493,-8039054,24.30493,24.30493,-7331607,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.37",17336,24.30493,24.30493,-8039054,24.30493,24.30493,-7353624,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.4",17337,24.30493,24.30493,-8050894,24.30493,24.30493,-7386746,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.43",17338,24.30493,24.30493,-8086503,24.30493,24.30493,-7375692,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.46",17339,24.30493,24.30493,-8086503,24.30493,24.30493,-7397810,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.49",17340,24.30493,24.30493,-8098400,24.30493,24.30493,-7419986,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.52",17341,24.30493,24.30493,-8098400,24.30493,24.30493,-7431092,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.55",17342,24.30493,24.30493,-8122231,24.30493,24.30493,-7442213,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.58",17343,24.3343,24.3343,-8134378,24.3343,24.3343,-7453542,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.61",17344,24.30493,24.30493,-8158091,24.30493,24.30493,-7453347,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.64",17345,24.30493,24.30493,-8158091,24.30493,24.30493,-7464494,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.67",17346,24.30493,24.30493,-8158091,24.30493,24.30493,-7486828,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.7",17347,24.30493,24.30493,-8170071,24.30493,24.30493,-7509211,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.73",17348,24.30493,24.30493,"NAN",24.30493,24.30493,-7486828,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.76",17349,24.30493,24.30493,"NAN",24.30493,24.30493,-7509211,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.79",17350,24.30493,24.30493,"NAN",24.30493,24.30493,-7520425,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.82",17351,24.30493,24.30493,"NAN",24.30493,24.30493,-7531653,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.85",17352,24.30493,24.30493,"NAN",24.30493,24.30493,-7531653,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.88",17353,24.30493,24.30493,"NAN",24.30493,24.30493,-7576696,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.91",17354,24.30493,24.30493,"NAN",24.30493,24.30493,-7576696,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.94",17355,24.30493,24.30493,"NAN",24.30493,24.30493,-7599298,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:11.97",17356,24.30493,24.30493,"NAN",24.30493,24.30493,-7599298,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12",17357,24.30493,24.30493,"NAN",24.30493,24.30493,-7610619,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.03",17358,24.30493,24.30493,"NAN",24.30493,24.30493,-7610619,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.06",17359,24.30493,24.30493,"NAN",24.30493,24.30493,-7621954,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.09",17360,24.3343,24.3343,"NAN",24.3343,24.3343,-7633495,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.12",17361,24.30493,24.30493,"NAN",24.30493,24.30493,-7656034,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.15",17362,24.30493,24.30493,"NAN",24.30493,24.30493,-7656034,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.18",17363,24.30493,24.30493,"NAN",24.30493,24.30493,-7667423,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.21",17364,24.30493,24.30493,"NAN",24.30493,24.30493,-7667423,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.24",17365,24.30493,24.30493,"NAN",24.30493,24.30493,-7701670,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.27",17366,24.30493,24.30493,"NAN",24.30493,24.30493,-7690241,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.3",17367,24.30493,24.30493,"NAN",24.30493,24.30493,-7713112,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.33",17368,24.30493,24.30493,"NAN",24.30493,24.30493,-7713112,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.36",17369,24.30493,24.30493,"NAN",24.30493,24.30493,-7736039,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.39",17370,24.30493,24.30493,"NAN",24.30493,24.30493,-7736039,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.42",17371,24.3343,24.3343,"NAN",24.3343,24.3343,-7736240,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.45",17372,24.30493,24.30493,"NAN",24.30493,24.30493,-7770526,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.48",17373,24.30493,24.30493,"NAN",24.30493,24.30493,-7770526,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.51",17374,24.30493,24.30493,"NAN",24.30493,24.30493,-7759016,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.54",17375,24.3343,24.3343,"NAN",24.3343,24.3343,-7782251,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.57",17376,24.30493,24.30493,"NAN",24.30493,24.30493,-7782050,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.6",17377,24.30493,24.30493,"NAN",24.30493,24.30493,-7828284,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.63",17378,24.30493,24.30493,"NAN",24.30493,24.30493,-7828284,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.66",17379,24.30493,24.30493,"NAN",24.30493,24.30493,-7828284,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.69",17380,24.30493,24.30493,"NAN",24.30493,24.30493,-7828284,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.72",17381,24.30493,24.30493,"NAN",24.30493,24.30493,-7839877,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.75",17382,24.30493,24.30493,"NAN",24.30493,24.30493,-7863105,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.78",17383,24.30493,24.30493,"NAN",24.30493,24.30493,-7863105,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.81",17384,24.30493,24.30493,"NAN",24.30493,24.30493,-7874733,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.84",17385,24.30493,24.30493,"NAN",24.30493,24.30493,-7874733,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.87",17386,24.30493,24.30493,"NAN",24.30493,24.30493,-7898042,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.9",17387,24.30493,24.30493,"NAN",24.30493,24.30493,-7886382,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.93",17388,24.30493,24.30493,"NAN",24.30493,24.30493,-7898042,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.96",17389,24.30493,24.30493,"NAN",24.30493,24.30493,-7909717,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:12.99",17390,24.30493,24.30493,"NAN",24.30493,24.30493,-7921408,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.02",17391,24.30493,24.30493,"NAN",24.30493,24.30493,-7944827,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.05",17392,24.30493,24.30493,"NAN",24.30493,24.30493,-7933110,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.08",17393,24.3343,24.3343,"NAN",24.3343,24.3343,-7956761,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.11",17394,24.30493,24.30493,"NAN",24.30493,24.30493,-7968301,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.14",17395,24.30493,24.30493,"NAN",24.30493,24.30493,-7968301,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.17",17396,24.30493,24.30493,"NAN",24.30493,24.30493,-7968301,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.2",17397,24.30493,24.30493,"NAN",24.30493,24.30493,-7968301,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.23",17398,24.30493,24.30493,"NAN",24.30493,24.30493,-8015411,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.26",17399,24.30493,24.30493,"NAN",24.30493,24.30493,-8003612,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.29",17400,24.30493,24.30493,"NAN",24.30493,24.30493,-8015411,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.32",17401,24.30493,24.30493,"NAN",24.30493,24.30493,-8015411,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.35",17402,24.30493,24.30493,"NAN",24.30493,24.30493,-8027225,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.38",17403,24.3343,24.3343,"NAN",24.3343,24.3343,-8039259,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.41",17404,24.30493,24.30493,"NAN",24.30493,24.30493,-8050894,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.44",17405,24.30493,24.30493,"NAN",24.30493,24.30493,-8062750,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.47",17406,24.30493,24.30493,"NAN",24.30493,24.30493,-8074620,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.5",17407,24.30493,24.30493,"NAN",24.30493,24.30493,-8062750,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.53",17408,24.30493,24.30493,"NAN",24.30493,24.30493,-8062750,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.56",17409,24.3343,24.3343,"NAN",24.3343,24.3343,-8086709,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.59",17410,24.30493,24.30493,"NAN",24.30493,24.30493,-8074620,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.62",17411,24.30493,24.30493,"NAN",24.30493,24.30493,-8098400,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.65",17412,24.30493,24.30493,"NAN",24.30493,24.30493,-8110306,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.68",17413,24.30493,24.30493,"NAN",24.30493,24.30493,-8110306,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.71",17414,24.30493,24.30493,"NAN",24.30493,24.30493,-8134170,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.74",17415,24.30493,24.30493,"NAN",24.30493,24.30493,-8122231,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.77",17416,24.3343,24.3343,"NAN",24.3343,24.3343,-8122438,24.3343,24.3343,24.3343,24.3343,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.8",17417,24.30493,24.30493,"NAN",24.30493,24.30493,-8134170,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
"2016-06-06 14:31:13.83",17418,24.30493,24.30493,"NAN",24.30493,24.30493,-8158091,24.30493,24.30493,24.30493,24.30493,"NAN","NAN","NAN","NAN","NAN","NAN"
